raw_signal,customer_size
Erneutes Gesprach mit AP Hr. Gudelj. Er auaerte kein weiteres Interesse am LMS und benannte keine detaillierten Grande. Der AP war sehr kurz angebunden. [Too much effort / change resistance],M
"6.7. schon langer in Status ""Registration"", Handler nicht erreicht Hat sich far Webinar angemeldet, siehe Case 13841100. [Contact not reachable]",M
"// 25.08.2026 (Eric Goldberg): Telefonat mit Handler, aktuell kein Interesse an LMP und es soll alles erst einmal so bleiben, wie es ist // 21.08.2026 (Eric Goldberg): Telefonat mit Handler, bitte am 24.08.2026 noch einmal probieren // LTM am 01.07 ab 10:30 Uhr wieder erreichbar [Not a priority / low relevance perceived]",L
"Frau Wiedmann erreicht, LMP vorgestellt. Sie bearbeitet alles alleine und ist dadurch zeitmaig sehr eingespannt ist. Keine Kapazitaten far Webinar und Onboarding [No time / capacity right now]",M
"Herr Celik erreicht, LMP vorgestellt. Er arbeitet lieber weiterhin so, wie er es bisher gewohnt ist (hat auch nur mobile.de als Plattform). Far ihn ist der Zeitaufwands des Onboardings zu hoch; er arbeitet allein und will alles lieber so belassen. [Not a priority / low relevance perceived]",M
"Handler bearbeitet die Leads komplett allein, hat auch keine andere Barse als mobile. Er machte seinen gewohnten Workflow behalten, wanscht daher kein LMS, machte es nicht nutzen. [Too much effort / change resistance]",M
"War nicht bereit mit mobile.de zu sprechen. Nicht bereit, neue Produkte zu nutzen. [Not the right person]",M
"HDL scheut dem Einmalaufwand zur Einrichtung des LMP mit Email-Synchronisation und den natigen Pflichtangaben far Mitarbeiter. Zwischen den Zeilen lese ich heraus, dass er LMP far zu technologisch komplex halt und damit schlicht aberfordert ist. [Effort]",M
Umfirmierung und neuer Account,M
"Gesprach mit AP Herr Arben Hajrizaj. Er sage, dass er momentan aus Zeitmangel nicht an einem Webinar teilen kann. Doch das Interesse besteht grundsatzlich und nach den Sommerferien in 1-2 Monaten"" wird er sich dafar Zeit nehmen.. Weiterer Workflow aber SF [Timing]",M
Er wird bald das Platin-Paket kandigen und ins Bronze wechseln. Deshalb nicht dafar geeignet.,M
25.06. - Ist interessiert. Link geschickt. Kam bei ihm an. Muss noch den Termin mit dem Partner abklaren. 01.07. - MA erreicht. Herr Ghalstyan im Gesprach. Er gibt die Erinnerung nochmal weiter. 20.07. - Herr Ghalstyan gerade aus dem Urlaub zurack. Viel zu tun. Link nochmal rausgesendet. 05.08. - Nicht erreicht 06.08. - Im KdG 07.08. - Herr Galstyan gerade in einer Umfirmierung. Wollen das Thema dann im neuen Account bearbeiten. Jetzt erstmal keinen Nerv dafar. [Timing],M
"Gesprach mit Ansprechpartner Hr. Ulupinar. AP beauskunftet, dass er bereits ein LM System nutzt. Er beauskunftet nicht um welches System es sich handelt. Vertragsbindung besteht und wanscht keine Veranderung. [Not a priority / low relevance perceived]",M
Machte keine Veranderung. Hat einen externen Lead-Manager. [Already have a process/tool],M
"Handler nutzt seit Jahren ein eigenes System, das optimal auf seine Bedarfnisse abgestimmt ist. Es bietet die gleichen Maglichkeiten wie der Lead Manager Pro von mobile und ist bereits vollstandig in seine Prozesse integriert. [Already have a process/tool]",L
seit dem 14.08.2026 bin ich hinterher um den Termin far die Verkaufsleiter Schulung zu finden bisher gab es keine Rackmeldung auf eine mail von mir und jedes mal wenn ich jemand an das Telefon bekomme hiea es ich leite ihr anliegen weiter,M
